N;Procesi;Koraki;Zagon;Cas_s
128;1;100;1;4.871508
128;1;100;2;4.868172
128;1;100;3;4.871965
128;1;100;4;4.868254
128;1;100;5;4.875866
128;2;100;1;2.435621
128;2;100;2;2.437522
128;2;100;3;2.439195
128;2;100;4;2.438986
128;2;100;5;2.434316
128;4;100;1;1.226597
128;4;100;2;1.224340
128;4;100;3;1.226087
128;4;100;4;1.224454
128;4;100;5;1.238752
128;16;100;1;0.361044
128;16;100;2;0.328544
128;16;100;3;0.368334
128;16;100;4;0.355917
128;16;100;5;0.394834
128;32;100;1;0.231096
128;32;100;2;0.252493
128;32;100;3;0.197482
128;32;100;4;0.192685
128;32;100;5;0.219753
512;1;100;1;77.893933
512;1;100;2;77.882046
512;1;100;3;77.857631
512;1;100;4;77.857327
512;1;100;5;77.831902
512;2;100;1;38.945653
512;2;100;2;38.948431
